"AuthorID","FirstName","LastName","DateOfBirth","Sex"
1,"Wanda","Waly",1928-10-20,"F"
2,"Pablo & Anastasiya","Aanchal",1916-05-24,"F"
3,"Joe","Bohdana",1917-10-03,"M"
4,"Stephanie","Caryn",1934-02-21,"F"
5,"Shared Stay-JFK The Hugh Suite","Zaka",1949-04-09,"M"
6,"Esef","Ishaan",1931-09-05,"F"
7,"Vinette","Thuy",1971-03-18,"M"
8,"Cheno","Daniela",1968-03-06,"F"
9,"Smith","Carmela",1914-04-24,"F"
10,"Clemente","Your Fave",1967-03-16,"M"
11,"Liana","Yukako",1962-05-22,"F"
12,"Elias","Miller",1950-07-20,"M"
13,"Isabela","Linett",1941-09-10,"M"
14,"Keqin","Sneh",1956-06-16,"F"
15,"Raoul&Nats","Kennyd",1935-09-13,"F"
16,"Miche","Briyah",1953-04-14,"M"
17,"Terrence And Teresa","Beatrix",1948-05-05,"F"
18,"Mery","Attika",1948-05-19,"F"
19,"Anique","Noa",1978-12-02,"F"
20,"Imperial","Kav",1925-07-08,"M"
21,"Tobias","Abc",1954-06-15,"F"
22,"Kane","Kali",1945-03-17,"F"
23,"Ashraful","Aidan",1949-10-24,"M"
24,"Ericka","Asem",1959-02-23,"F"
25,"Chas","Jamie",1938-05-08,"M"
26,"Marla","Robert And Zafir",1961-12-16,"F"
27,"Alimah","Jesseca",1963-10-25,"M"
28,"Marika","Ra-Ey",1967-01-29,"F"
29,"Trudy","Ermina",1942-06-19,"M"
30,"Faiven","Josue",1900-04-04,"F"
31,"Meike","Cristiano",1955-02-28,"F"
32,"Spanky","Juan Francisco",1900-01-04,"M"
33,"Jarad","Yamini",1911-03-09,"M"
34,"Shradha","Charlette",1965-06-10,"F"
35,"Arjay","Umut&Deniz",1930-05-04,"F"
36,"James Nathan","Balwinder",1937-03-16,"F"
37,"Ducrot","Raphael",1918-02-13,"M"
38,"Jane","Mia",1956-03-22,"F"
39,"Line","Bingham",1956-08-29,"F"
40,"Clemiro","Wenli",1972-12-31,"M"
41,"Farrell","Ofier",1928-09-15,"M"
42,"Meike","Dixie",1917-04-03,"M"
43,"Burton","Abc",1974-11-02,"F"
44,"Patrik","Hena",1944-04-12,"M"
45,"Eliot","Sahr",1932-10-26,"M"
46,"Eliahu","Verena",1956-07-25,"M"
47,"Colette&Sean","Karly",1974-04-08,"F"
48,"V.Stephan","Bubby",1954-02-01,"F"
49,"Ronit","Dominque",1927-08-02,"F"
50,"Louise","Asheera",1939-09-07,"M"
