"CustomerID","FirstName","LastName","DateOfBirth","Sex"
1,"Sharoom","Rubi&Danny",1990-07-18,"M"
2,"Mikkel","Echo",2005-10-20,"F"
3,"Mio","Topu",1984-07-13,"M"
4,"Dilan","Linghsiu",1991-12-03,"F"
5,"Crystal & Allan","Sausan",2000-11-16,"F"
6,"Samet","Adeel",1983-11-17,"F"
7,"Selena","Roy",1985-05-25,"M"
8,"Vikas","Juju",1991-03-03,"M"
9,"Sidney","Mariel",1988-06-18,"F"
10,"Natsuko","Ani",1981-07-09,"F"
11,"Manzoor","Riva",2001-07-06,"M"
12,"Bonnie","Zachory",1990-12-19,"M"
13,"Mama Batata","Sammy & Chris",1997-08-27,"M"
14,"Myrna","Basil And Jacqueline",1995-01-16,"M"
15,"Gilbert","Steffan Per",1992-04-15,"M"
16,"Clemencia","Mante",1995-02-08,"M"
17,"Mery","Manuel Alberto",1985-07-30,"M"
18,"Nguyen","Sharon And Dave",1988-05-20,"F"
19,"Paloma","Gautier",1993-05-03,"M"
20,"Likowsky","Adishwar",1981-01-19,"M"
21,"Orianna","Armelle",2006-03-04,"F"
22,"Srulik","Samara",2007-06-20,"M"
23,"Jhon","Fate",1985-10-22,"M"
24,"Daniyal","Timo",1993-06-01,"M"
25,"Dee","Neng",1996-11-12,"F"
26,"Dacia","Illtyd",1993-05-03,"M"
27,"Tony","Upinder",1998-04-05,"M"
28,"Elay","Bunmi",2003-06-21,"F"
29,"Amira","Jango",1994-09-07,"M"
30,"Lakshey","Leo & Family",1982-12-06,"F"
31,"Letisha","Shatia",1999-12-04,"M"
32,"Moji","Ben And Madi",1988-05-20,"F"
33,"Obed","Peter",1994-09-08,"M"
34,"Josie","Kevin And Karen",2007-11-23,"F"
35,"Terrance","Noel And Patricia",1985-01-04,"M"
36,"Sharon & Henry","George",1990-04-08,"M"
37,"The 6o2","Ofek",1980-10-08,"M"
38,"Linda Lou","Rocio",1980-05-12,"F"
39,"Kini","Khorkhe",2008-05-25,"M"
40,"Iskender Turgay","Bev",1996-06-24,"M"
41,"Anjela","Sushant",2003-01-16,"F"
42,"Fallon","Tiasha",1997-05-28,"M"
43,"Emily Rose","Arkadiy",1996-10-09,"F"
