"CharacterID","FirstName","LastName","Age","Sex"
1,"Grete","Souheil",21,"F"
2,"Sego","Hanley",61,"M"
3,"Henry D","Loreto",52,"F"
4,"Femi","DeeDee",39,"F"
5,"Lexx","Hermann",61,"M"
6,"Nise","Giulio",25,"M"
7,"Caprice","Betina",23,"F"
8,"Carson","BNB-Resorts By RC",18,"F"
9,"Kai Chieh","Laura & Tim",25,"F"
10,"Lyndell","Philipe",22,"F"
11,"Maireni","Kirra",62,"M"
12,"Amita","Lun",61,"M"
13,"Kasper","The Wagner Hotel",74,"F"
14,"Semika","Keisuke",50,"F"
15,"Greicy","Juhli",27,"M"
16,"Haydenn","Tommy",80,"F"
17,"Emelie","Aidana",71,"F"
18,"Abe","Fla",23,"F"
19,"Jayson","Hebert",23,"F"
20,"Ibada","Ravi",33,"M"
21,"NY Blue House","Brayan",78,"M"
22,"Jehanne","Artnell",72,"M"
23,"Ermina","Guoxin",22,"M"
24,"Luanny","Arty",53,"M"
25,"Cederna","Mymy",63,"F"
26,"Andra","Monze",54,"F"
27,"Beverline","Kiovanna",42,"F"
28,"Fionn","Ronn",32,"F"
29,"Yocasta","Faigie",64,"F"
30,"Anne & Gary","Reymon",35,"F"
31,"Rj","Maral",61,"M"
32,"Phi","Aaron & Ivy",74,"F"
33,"Melli","Aurellia",47,"F"
34,"Sasan","Neysa",76,"M"
35,"Eudelia","Howell",32,"F"
36,"Careen","Crista",73,"F"
37,"Ollie","Leora",77,"M"
38,"Matt & Crutch","Georgia & Robin",43,"F"
39,"Dylon","Anya",59,"F"
40,"Laetitia","Matt + Allie",68,"F"
41,"Anshu","Maksud",58,"M"
42,"Sho-Boo Of Sho-Boo Suite","Sabina",33,"M"
43,"Lindy","Phoebe",41,"F"
44,"Natalie And Dan","Yah",71,"M"
45,"Aurelia","Lohlah",60,"M"
46,"Tetyana","Gypsy",80,"F"
47,"Maha","Kellie",38,"F"
48,"Howell","Sasan",16,"F"
49,"Mitra","Dilenny",48,"M"
50,"Eduardo","Knut",33,"F"
51,"Ge","Camilla",64,"F"
52,"Catia","Jerbean",21,"M"
53,"Tamu","Yankee",67,"F"
54,"Shamaine","Stivan",36,"F"
55,"Priyanka","Nutrice",28,"M"
56,"Herby","Kessy-Ann",71,"F"
57,"Jamila","Mei-I",70,"M"
58,"Ciru","Geri",30,"M"
59,"Armando Rafael","Auri",56,"M"
60,"Jordana","Jamel",25,"F"
61,"Yva","Kristi",35,"F"
62,"Arlen","Yuchen",26,"M"
63,"Shamroz","Lynette",26,"F"
64,"Ajna","Claire",48,"M"
65,"H__tor","Ronnie",74,"M"
66,"Benat","Naheima",22,"M"
67,"Ardinia","Shruti",29,"M"
68,"Phillip","Sayam",70,"M"
69,"Charissa","Sherrilyn",56,"M"
70,"Micah","Jey",66,"M"
71,"Sue","Chris&Suly",52,"M"
72,"Andreias","Yoselyn",25,"M"
73,"Gore","Michael And Donna",58,"M"
74,"Javier & Alejandra","Maytal And Ken",72,"M"
75,"Amanda & Rafael","Fmny",73,"F"
76,"Naz","Elias",56,"M"
77,"Racquel","Prem",64,"M"
78,"Arianna & Z","C S",35,"M"
79,"Rachel And Ari","Doe2930",53,"F"
80,"Ersellia","Jolynn",79,"F"
81,"Jefry","Hannah And Michael",49,"M"
82,"Clare","Charly",79,"M"
83,"Nony","Dom",42,"F"
84,"Adir","Sabina Giovanna",36,"F"
85,"Melrose","Crystal & Clee",35,"M"
86,"Sammi","Sigfus",30,"M"
87,"Stephon & Luke","Dayane",64,"F"
88,"Colton","Sammy",45,"F"
